序号,单词,音标,词性,中文
600,suggestion,/suggestion/,n.,建议
601,avoid,/avoid/,v./n.,逃避
602,cope,/cope/,v./n.,应对
603,regulate,/regulate/,v.,调节
604,breathe,/breathe/,v./n.,呼吸
605,pause,/pause/,v./n.,暂停
606,journal,/journal/,adj.,日记
607,therapy,/therapy/,v./n.,治疗
608,release,/release/,v./n.,释放
609,seek,/seek/,v./n.,寻求
610,advice,/advice/,v./n.,建议
611,organizational,/organizational/,adj.,组织的
612,mention,/mention/,n.,提及
613,shameless,/shameless/,adj.,无耻的
614,harm,/harm/,v./n.,伤害
615,strengthen,/strengthen/,v./n.,加强
616,method,/method/,v./n.,方法
617,gather,/gather/,v./n.,收集
618,interaction,/interaction/,n.,互动
619,witness,/witness/,n.,证人
620,evidence,/evidence/,n.,证据
621,written,/written/,adj.,书面的
622,deny,/deny/,v./n.,否认
623,distort,/distort/,v./n.,歪曲
624,perseverance,/perseverance/,n.,坚持
625,result,/result/,v./n.,结果
626,participate,/participate/,v.,参与
627,recognition,/recognition/,n.,认可
628,build,/build/,v./n.,建立
629,connect,/connect/,v./n.,联系
630,warm,/warm/,adj.,热情的
631,sympathize,/sympathize/,v.,同情
632,authority,/authority/,n.,权威
633,sincere,/sincere/,v./n.,真诚
634,gradually,/gradually/,adv.,逐渐
635,mentor,/mentor/,v./n.,导师
636,serious,/serious/,adj.,严重的
637,policy,/policy/,v./n.,政策
638,HR,/HR/,v./n.,人力资源部门
639,incident,/incident/,v./n.,事件
640,impact,/impact/,v./n.,影响
641,warn,/warn/,v./n.,警告
642,discipline,/discipline/,v./n.,纪律处分
643,outcome,/outcome/,v./n.,结果
644,relieve,/relieve/,v./n.,释然
645,admire,/admire/,v./n.,钦佩
646,behavior,/behavior/,v./n.,行为
647,fair,/fair/,adj.,公平的
648,arrogant,/arrogant/,v./n.,傲慢
649,humble,/humble/,adj.,谦逊的
650,willpower,/willpower/,v./n.,意志力
651,principle,/principle/,v./n.,原则
652,integrity,/integrity/,n.,正直
653,intelligence,/intelligence/,n.,智力
654,lesson,/lesson/,v./n.,教训
655,brave,/brave/,v./n.,勇敢
656,step,/step/,v./n.,步骤
657,justice,/justice/,v./n.,正义
658,light,/light/,v./n.,光明
659,vibrant,/vibrant/,adj.,充满活力的
660,excitement,/excitement/,n.,兴奋
661,university,/university/,n.,大学
662,architecture,/architecture/,v./n.,建筑
663,charm,/charm/,v./n.,魅力
664,flutter,/flutter/,v./n.,飘动
665,prestigious,/prestigious/,adj.,享有声望的
666,plaza,/plaza/,v./n.,广场
667,anticipation,/anticipation/,n.,期待
668,booth,/booth/,v./n.,摊位
669,volunteer,/volunteer/,v./n.,志愿者
670,admission,/admission/,n.,入学
671,special,/special/,adj.,特殊的
672,unfamiliar,/unfamiliar/,adj.,陌生的
673,remote,/remote/,adj.,偏远的
674,unknown,/unknown/,adj.,未知的
675,direction,/direction/,n.,方向
676,massive,/massive/,adj.,巨大的
677,overwhelm,/overwhelm/,v./n.,不知所措
678,location,/location/,n.,地点
679,panic,/panic/,v./n.,恐慌
680,building,/building/,v./n.,建筑
681,attractive,/attractive/,adj.,吸引人的
682,landscape,/landscape/,v./n.,风景
683,lonely,/lonely/,adv.,孤独的
684,inquire,/inquire/,v./n.,询问
685,junction,/junction/,n.,交叉口
686,figure,/figure/,v./n.,身影
687,apologize,/apologize/,v.,道歉
688,accelerate,/accelerate/,v.,加速
689,kindness,/kindness/,n.,善良
690,polite,/polite/,adj.,礼貌的
691,breeding,/breeding/,v./n.,教养
692,handsome,/handsome/,v./n.,英俊
693,relax,/relax/,v./n.,放松
694,confusion,/confusion/,n.,困惑
695,confident,/confident/,adj.,自信的
696,scenery,/scenery/,v./n.,景观
697,ideal,/ideal/,adj.,理想的
698,laboratory,/laboratory/,v./n.,实验室
699,function,/function/,n.,功能
700,tradition,/tradition/,n.,传统
701,outstanding,/outstanding/,adj.,杰出的
702,care,/care/,v./n.,关心
703,profile,/profile/,v./n.,侧面
704,ripple,/ripple/,v./n.,涟漪
705,item,/item/,v./n.,项目
706,student,/student/,v./n.,学生
707,scholarship,/scholarship/,v./n.,奖学金
708,personality,/personality/,n.,性格
709,humorous,/humorous/,adj.,幽默
710,friendship,/friendship/,v./n.,友谊
711,hobby,/hobby/,v./n.,爱好
712,harmony,/harmony/,v./n.,和谐
713,expression,/expression/,n.,表情
714,orientation,/orientation/,n.,新生指导
715,purchase,/purchase/,v./n.,购买
716,moment,/moment/,n.,时刻
717,encounter,/encounter/,v./n.,遇见
718,delight,/delight/,v./n.,喜悦
719,motivation,/motivation/,n.,动力
720,poetic,/poetic/,adj.,诗意的
721,knowledge,/knowledge/,v./n.,知识
722,illustration,/illustration/,n.,例子
723,ability,/ability/,n.,能力
724,regular,/regular/,v./n.,规律
725,highlight,/highlight/,v./n.,突出
726,understanding,/understanding/,v./n.,理解
727,knowledgeable,/knowledgeable/,adj.,知识渊博
728,thoughtful,/thoughtful/,adj.,体贴
729,touched,/touched/,v./n.,触动
730,talented,/talented/,adj.,有才华的
731,interact,/interact/,v./n.,互动
732,memory,/memory/,v./n.,记忆
733,longing,/longing/,v./n.,憧憬
734,memorable,/memorable/,adj.,难忘的
735,ancient,/ancient/,adj.,古老的
736,romance,/romance/,n.,浪漫
737,chapter,/chapter/,v./n.,篇章
738,club,/club/,v./n.,社团
739,activity,/activity/,n.,活动
740,member,/member/,v./n.,成员
741,voice,/voice/,v./n.,声音
742,frequent,/frequent/,v./n.,频繁
743,theory,/theory/,v./n.,理论
744,practice,/practice/,v./n.,实践
745,technique,/technique/,v./n.,技术
746,responsible,/responsible/,adj.,负责任的
747,perception,/perception/,n.,感知
748,feel,/feel/,v./n.,感受
749,discuss,/discuss/,v./n.,讨论
750,comment,/comment/,n.,评论
751,active,/active/,adj.,积极的
752,organization,/organization/,n.,组织
753,community,/community/,n.,团体
754,interest,/interest/,v./n.,兴趣
755,bond,/bond/,v./n.,纽带
756,stage,/stage/,v./n.,舞台
757,characteristic,/characteristic/,v./n.,特点
758,level,/level/,v./n.,水平
759,valuable,/valuable/,adj.,有价值的
760,theme,/theme/,v./n.,主题
761,enthusiasm,/enthusiasm/,v./n.,热情
762,organizer,/organizer/,v./n.,组织者
763,equipment,/equipment/,n.,设备
764,beauty,/beauty/,v./n.,美
765,creativity,/creativity/,n.,创造力
766,wander,/wander/,v./n.,漫步
767,pattern,/pattern/,v./n.,图案
768,song,/song/,v./n.,歌声
769,artistic,/artistic/,adj.,艺术的
770,sensibility,/sensibility/,n.,感悟
771,focus,/focus/,v./n.,聚焦
772,scene,/scene/,v./n.,场景
773,satisfaction,/satisfaction/,n.,满足
774,expose,/expose/,v./n.,曝光
775,happen,/happen/,v./n.,碰巧
776,think,/think/,v./n.,思考
777,understand,/understand/,v./n.,理解
778,connection,/connection/,n.,联系
779,merit,/merit/,v./n.,优点
780,shadow,/shadow/,v./n.,阴影
781,hope,/hope/,v./n.,希望
782,combine,/combine/,v./n.,结合
783,satisfy,/satisfy/,v./n.,满意
784,solidarity,/solidarity/,n.,团结
785,concern,/concern/,v./n.,关心
786,communication,/communication/,n.,沟通
787,quiet,/quiet/,v./n.,宁静
788,sway,/sway/,v./n.,摇曳
789,sweet,/sweet/,v./n.,甜蜜
790,beautiful,/beautiful/,adj.,美好的
791,milestone,/milestone/,v./n.,里程碑
792,chat,/chat/,v./n.,聊天
793,action,/action/,n.,行动
794,happy,/happy/,v./n.,开心
795,mood,/mood/,v./n.,情绪
796,fragrant,/fragrant/,v./n.,香味
797,agree,/agree/,v./n.,同意
798,happiness,/happiness/,n.,幸福
799,precious,/precious/,adj.,珍贵的
800,youth,/youth/,v./n.,青春
801,innocent,/innocent/,adj.,纯真的
802,approach,/approach/,v./n.,靠近
803,pure,/pure/,adj.,纯粹的
804,tender,/tender/,adj.,温柔的
805,weekend,/weekend/,v./n.,周末
806,exhaust,/exhaust/,v./n.,疲惫
807,urge,/urge/,v./n.,催促
808,blind,/blind/,v./n.,相亲
809,feeling,/feeling/,v./n.,感受
810,preference,/preference/,n.,偏好
811,disappoint,/disappoint/,v./n.,失望
812,compatibility,/compatibility/,n.,兼容性
813,narcissistic,/narcissistic/,adj.,自恋的
814,boast,/boast/,v./n.,炫耀
815,status,/status/,v./n.,地位
816,vanity,/vanity/,n.,虚荣
817,express,/express/,v./n.,表达
818,arrogance,/arrogance/,n.,傲慢
819,character,/character/,v./n.,品格
820,perfunctory,/perfunctory/,v./n.,敷衍
821,suffocate,/suffocate/,v.,窒息
822,discomfort,/discomfort/,v./n.,不适
823,excuse,/excuse/,v./n.,借口
824,relief,/relief/,v./n.,解脱
825,cafe,/cafe/,v./n.,咖啡店
826,ambiance,/ambiance/,n.,氛围
827,exterior,/exterior/,v./n.,外观
828,attract,/attract/,v./n.,吸引
829,wooden,/wooden/,adj.,木制的
830,aroma,/aroma/,v./n.,香气
831,bake,/bake/,v./n.,烘焙
832,comfort,/comfort/,v./n.,舒适
833,decorate,/decorate/,v.,装饰
834,abstract,/abstract/,adj.,抽象的
835,green,/green/,v./n.,绿色
836,vitality,/vitality/,n.,生机
837,jazz,/jazz/,v./n.,爵士乐
838,converse,/converse/,v./n.,交谈
839,exquisite,/exquisite/,v./n.,精致
840,illuminate,/illuminate/,v.,照明
841,cozy,/cozy/,v./n.,温馨
842,belong,/belong/,v./n.,归属感
843,candle,/candle/,v./n.,蜡烛
844,flicker,/flicker/,v./n.,闪烁
845,romantic,/romantic/,v./n.,浪漫
846,latte,/latte/,v./n.,拿铁
847,tranquility,/tranquility/,n.,平静
848,spacious,/spacious/,adj.,宽敞
849,cushion,/cushion/,v./n.,靠垫
850,peace,/peace/,v./n.,宁静
851,pedestrian,/pedestrian/,v./n.,行人
852,steam,/steam/,v./n.,热气
853,mellow,/mellow/,v./n.,醇厚
854,concise,/concise/,v./n.,简洁
855,casual,/casual/,adj.,休闲
856,sophisticated,/sophisticated/,adj.,成熟的
857,feature,/feature/,v./n.,特征
858,reveal,/reveal/,adj.,流露
859,temperament,/temperament/,n.,气质
860,philosophy,/philosophy/,v./n.,哲学
861,simple,/simple/,v./n.,简约
862,intellect,/intellect/,v./n.,智力
863,posture,/posture/,v./n.,姿态
864,graceful,/graceful/,adj.,优雅
865,flip,/flip/,v./n.,翻动
866,movement,/movement/,n.,动作
867,attraction,/attraction/,n.,吸引力
868,concentrate,/concentrate/,v.,集中
869,strange,/strange/,v./n.,陌生
870,distant,/distant/,adj.,遥远的
871,resonance,/resonance/,n.,共鸣
872,cast,/cast/,v./n.,投射
873,accident,/accident/,v./n.,意外
874,generous,/generous/,adj.,慷慨的
875,reaction,/reaction/,n.,反应
876,tolerance,/tolerance/,n.,宽容
877,chemistry,/chemistry/,v./n.,默契
878,clean,/clean/,v./n.,清理
879,topic,/topic/,v./n.,话题
880,classic,/classic/,v./n.,经典
881,poetry,/poetry/,v./n.,诗歌
882,spare,/spare/,v./n.,业余
883,conversation,/conversation/,n.,对话
884,worth,/worth/,v./n.,价值
885,depth,/depth/,v./n.,深度
886,convey,/convey/,v./n.,传达
887,acquaint,/acquaint/,v./n.,相识
888,viewpoint,/viewpoint/,v./n.,观点
889,coincidence,/coincidence/,n.,巧合
890,warmth,/warmth/,v./n.,温暖
891,pass,/pass/,v./n.,流逝
892,sky,/sky/,v./n.,天空
893,sound,/sound/,v./n.,声音
894,genuine,/genuine/,adj.,真诚的
895,confidant,/confidant/,v./n.,知己
896,soul,/soul/,v./n.,灵魂
897,interior,/interior/,v./n.,内部
898,freedom,/freedom/,v./n.,自由
899,possibility,/possibility/,n.,可能性
900,turning,/turning/,v./n.,转折点
901,embrace,/embrace/,v./n.,拥抱
902,glance,/glance/,n.,扫视
903,fly,/fly/,adv.,飞逝
904,distance,/distance/,n.,距离
905,contemplate,/contemplate/,v.,深思
906,impulse,/impulse/,v./n.,冲动
907,visualize,/visualize/,v.,想象
908,internal,/internal/,adj.,内心
909,hesitation,/hesitation/,n.,犹豫
910,suppress,/suppress/,v./n.,抑制
911,meticulous,/meticulous/,adj.,细致
912,preparation,/preparation/,n.,准备
913,invite,/invite/,v./n.,邀请
914,pleasant,/pleasant/,adj.,愉快的
915,affection,/affection/,n.,喜爱
916,adoration,/adoration/,n.,爱慕
917,chance,/chance/,n.,机会
918,repeat,/repeat/,v./n.,重复
919,agitation,/agitation/,n.,激动
920,peaceful,/peaceful/,adj.,宁静
921,delay,/delay/,v./n.,拖延
922,nervousness,/nervousness/,n.,紧张
923,misunderstanding,/misunderstanding/,v./n.,误解
924,tenderness,/tenderness/,n.,温柔
925,desire,/desire/,v./n.,渴望
926,devotion,/devotion/,n.,深情
927,firm,/firm/,adj.,坚定的
928,adore,/adore/,v./n.,爱意
929,determination,/determination/,n.,决心
930,promise,/promise/,v./n.,承诺
931,protect,/protect/,v./n.,保护
932,confess,/confess/,v./n.,表白
933,prove,/prove/,v./n.,证明
934,vanish,/vanish/,v./n.,消失
935,touch,/touch/,v./n.,感动
936,meaningful,/meaningful/,adj.,有意义的
937,love,/love/,v./n.,爱情
938,meaning,/meaning/,v./n.,意义
939,joy,/joy/,v./n.,喜悦
940,ecstasy,/ecstasy/,v./n.,狂喜
941,reliance,/reliance/,n.,依靠
942,explore,/explore/,v./n.,探索
943,beginning,/beginning/,v./n.,开始
944,nature,/nature/,v./n.,本质
945,lifetime,/lifetime/,v./n.,一生
946,bliss,/bliss/,v./n.,幸福
947,future,/future/,v./n.,未来
948,luxurious,/luxurious/,adj.,奢华的
949,trample,/trample/,v./n.,践踏
950,scheme,/scheme/,v./n.,策划
951,cruelty,/cruelty/,v./n.,残酷
952,splendid,/splendid/,v./n.,辉煌
953,conspiracy,/conspiracy/,v./n.,阴谋
954,disguise,/disguise/,v./n.,伪装
955,burning,/burning/,v./n.,燃烧
956,corner,/corner/,v./n.,角落
957,lurk,/lurk/,v./n.,潜伏
958,always,/always/,v./n.,总是
959,fall,/fall/,v./n.,跌落
960,careful,/careful/,adj.,小心
961,patient,/patient/,v./n.,耐心
962,weakness,/weakness/,n.,弱点
963,flash,/flash/,v./n.,闪过
964,favor,/favor/,v./n.,恩宠
965,secret,/secret/,v./n.,秘诀
966,immediately,/immediately/,adv.,立刻
967,signal,/signal/,adj.,信号
968,lower,/lower/,v./n.,低下
969,respectful,/respectful/,adj.,恭敬
970,endurance,/endurance/,n.,隐忍
971,flatter,/flatter/,v./n.,谬赞
972,lucky,/lucky/,v./n.,幸运
973,reply,/reply/,adv.,回答
974,question,/question/,n.,质问
975,trap,/trap/,v./n.,陷阱
976,arouse,/arouse/,v./n.,引起
977,ignorant,/ignorant/,v./n.,无知
978,detect,/detect/,v./n.,察觉
979,murmur,/murmur/,v./n.,低语
980,shocked,/shocked/,v./n.,震惊
981,composed,/composed/,v./n.,镇定
982,smart,/smart/,v./n.,聪明
983,transfer,/transfer/,v./n.,转移
984,remind,/remind/,v./n.,提醒
985,affinity,/affinity/,n.,缘分
986,finally,/finally/,adv.,终于
987,relieved,/relieved/,v./n.,释然
988,safely,/safely/,adv.,安全
989,layout,/layout/,v./n.,布局
990,remove,/remove/,v./n.,除掉
991,glory,/glory/,v./n.,荣耀
992,rush,/rush/,v./n.,急躁
993,ally,/ally/,adv.,盟友
994,vulnerability,/vulnerability/,n.,弱点
995,exploit,/exploit/,v./n.,利用
996,strategically,/strategically/,adv.,策略性地
997,friendly,/friendly/,adv.,友好
998,submissive,/submissive/,adj.,顺从
999,subtle,/subtle/,v./n.,微妙
1000,record,/record/,v./n.,记录
1001,use,/use/,v./n.,使用
1002,time,/time/,v./n.,时间
1003,stabilize,/stabilize/,v.,稳固
1004,traitor,/traitor/,v./n.,叛徒
1005,pay,/pay/,v./n.,付出
1006,criminal,/criminal/,adj.,犯罪
1007,improper,/improper/,v./n.,不当
1008,embezzlement,/embezzlement/,n.,贪污
1009,appropriate,/appropriate/,v.,合适
1010,punish,/punish/,v./n.,惩罚
1011,degrade,/degrade/,v./n.,降级
1012,confine,/confine/,v./n.,禁足
1013,victory,/victory/,v./n.,胜利
1014,eliminate,/eliminate/,v.,清除
1015,spend,/spend/,v./n.,花费
1016,hasty,/hasty/,v./n.,仓促
1017,successful,/successful/,adj.,成功
1018,proud,/proud/,v./n.,自豪
1019,calmly,/calmly/,adv.,平静地
1020,mark,/mark/,v./n.,标记
1021,maintain,/maintain/,v./n.,维持
1022,continue,/continue/,v./n.,继续
1023,rule,/rule/,v./n.,治理
1024,reduce,/reduce/,v./n.,减少
1025,prosper,/prosper/,v./n.,繁荣
1026,legend,/legend/,v./n.,传奇
1027,firmly,/firmly/,adv.,坚定地
1028,applaud,/applaud/,v./n.,响起掌声
1029,stare,/stare/,v./n.,注视
1030,dominant,/dominant/,v./n.,霸主
1031,marriage,/marriage/,v./n.,婚姻
1032,bitter,/bitter/,v./n.,苦涩
1033,cold,/cold/,v./n.,冰冷
1034,mock,/mock/,v./n.,嘲笑
1035,guilt,/guilt/,v./n.,愧疚
1036,retrieve,/retrieve/,v./n.,找回
1037,stubborn,/stubborn/,v./n.,固执
1038,tearful,/tearful/,adj.,含泪
1039,painful,/painful/,adj.,痛苦
1040,torture,/torture/,v./n.,折磨
1041,endure,/endure/,v./n.,忍受
1042,selfish,/selfish/,v./n.,自私
1043,inevitable,/inevitable/,adj.,理所当然
1044,break,/break/,v./n.,破碎
1045,despair,/despair/,v./n.,绝望
1046,never,/never/,v./n.,从不
1047,panicked,/panicked/,v./n.,恐慌
1048,forgive,/forgive/,adj.,原谅
1049,knock,/knock/,v./n.,敲
1050,verdict,/verdict/,v./n.,裁决
1051,surprised,/surprised/,v./n.,惊讶
1052,pale,/pale/,v./n.,苍白
1053,tired,/tired/,v./n.,疲惫
1054,ask,/ask/,v./n.,问
1055,bridge,/bridge/,v./n.,跨越
1056,gap,/gap/,v./n.,鸿沟
1057,honest,/honest/,v./n.,诚实地
1058,mistake,/mistake/,v./n.,错误
1059,undo,/undo/,v./n.,撤销
1060,plead,/plead/,v./n.,恳求
1061,consider,/consider/,v./n.,考虑
1062,pride,/pride/,v./n.,骄傲
1063,slowly,/slowly/,adv.,慢慢
1064,dissolve,/dissolve/,v./n.,融化
1065,harden,/harden/,v./n.,坚冰
1066,improve,/improve/,v./n.,改进
1067,listen,/listen/,v./n.,倾听
1068,equality,/equality/,n.,平等
1069,oath,/oath/,v./n.,誓言
1070,red,/red/,v./n.,泛红
1071,bitterness,/bitterness/,n.,委屈
1072,moved,/moved/,v./n.,感动
1073,return,/return/,v./n.,回来
1074,bloom,/bloom/,v./n.,绽放
1075,choice,/choice/,v./n.,选择
1076,tense,/tense/,v./n.,紧张
1077,compete,/compete/,v./n.,竞争
1078,conflict,/conflict/,v./n.,冲突
1079,replace,/replace/,v./n.,取代
1080,rehearse,/rehearse/,v./n.,排练
1081,flawless,/flawless/,adj.,完美
1082,solemn,/solemn/,v./n.,庄重
1083,invisible,/invisible/,v./n.,无形
1084,unexpected,/unexpected/,v./n.,意外
1085,risk,/risk/,v./n.,风险
1086,slight,/slight/,v./n.,略微
1087,approval,/approval/,adj.,认可
1088,excited,/excited/,v./n.,激动
1089,perfectly,/perfectly/,adv.,完美
1090,request,/request/,v./n.,请求
1091,voluntary,/voluntary/,v./n.,主动
1092,optimistic,/optimistic/,v./n.,乐观
1093,humbly,/humbly/,adv.,谦逊地
1094,help,/help/,v./n.,帮助
1095,cohesive,/cohesive/,adj.,团结
1096,strength,/strength/,v./n.,实力
1097,walk,/walk/,v./n.,漫步
1098,contradict,/contradict/,v./n.,矛盾
1099,straighten,/straighten/,v./n.,挺直
1100,shy,/shy/,v./n.,羞涩
1101,elegance,/elegance/,n.,优雅
1102,fear,/fear/,v./n.,恐惧
1103,wait,/wait/,v./n.,等待
1104,difficult,/difficult/,v./n.,困难
1105,ordinary,/ordinary/,v./n.,普通
1106,disappointed,/disappointed/,v./n.,失望
1107,depress,/depress/,v./n.,沮丧
1108,melt,/melt/,v./n.,融化
1109,hide,/hide/,v./n.,隐藏
1110,observation,/observation/,n.,观察
1111,hopeful,/hopeful/,adj.,充满希望
1112,hold,/hold/,v./n.,屏住
1113,soft,/soft/,v./n.,轻柔
1114,together,/together/,v./n.,在一起
1115,sign,/sign/,v./n.,签署
1116,clear,/clear/,v./n.,清晰
1117,strict,/strict/,v./n.,严格
1118,terminate,/terminate/,v.,终止
1119,tempting,/tempting/,v./n.,诱人
1120,manner,/manner/,v./n.,风度
1121,awkward,/awkward/,v./n.,尴尬
1122,brief,/brief/,v./n.,简短
1123,rationality,/rationality/,n.,理智
1124,boundary,/boundary/,v./n.,界限
1125,try,/try/,v./n.,尝试
1126,discover,/discover/,v./n.,发现
1127,danger,/danger/,v./n.,危险
1128,harass,/harass/,v./n.,骚扰
1129,hug,/hug/,v./n.,拥抱
1130,worry,/worry/,v./n.,担心
1131,blossom,/blossom/,v./n.,萌芽
1132,close,/close/,v./n.,靠近
1133,happily,/happily/,adv.,幸福地
1134,real,/real/,adj.,真实
1135,define,/define/,v./n.,定义
1136,mansion,/mansion/,n.,别墅
1137,heir,/heir/,v./n.,继承人
1138,vividly,/vividly/,adv.,清晰地
1139,conspire,/conspire/,v./n.,密谋
1140,due,/due/,adj.,应得的
1141,arduous,/arduous/,adj.,艰难
1142,meticulously,/meticulously/,adv.,细致地
1143,replay,/replay/,v./n.,重演
1144,innocently,/innocently/,adv.,天真地
1145,treacherous,/treacherous/,adj.,阴险的
1146,manipulate,/manipulate/,v.,操控
1147,fabricate,/fabricate/,v.,捏造
1148,deprive,/deprive/,adj.,剥夺
1149,hinder,/hinder/,v./n.,阻碍
1150,keenly,/keenly/,adv.,敏锐地
1151,identity,/identity/,n.,身份
1152,investor,/investor/,v./n.,投资人
1153,abundant,/abundant/,adj.,充足的
1154,impeccable,/impeccable/,adj.,无懈可击的
1155,negotiate,/negotiate/,v.,谈判
1156,alert,/alert/,v./n.,警惕
1157,extensive,/extensive/,adj.,广泛的
1158,worried,/worried/,v./n.,担忧
1159,ponder,/ponder/,v./n.,思索
1160,adopt,/adopt/,v./n.,采用
1161,systematically,/systematically/,adv.,系统地
1162,utilize,/utilize/,v.,利用
1163,substantial,/substantial/,adj.,可观的
1164,gala,/gala/,v./n.,晚会
1165,ostentatious,/ostentatious/,adj.,炫耀
1166,cruel,/cruel/,v./n.,残酷
1167,fraud,/fraud/,v./n.,欺诈
1168,bribe,/bribe/,v./n.,贿赂
1169,evade,/evade/,v./n.,逃避
1170,assemble,/assemble/,v./n.,收集
1171,suspicious,/suspicious/,adj.,可疑的
1172,prevail,/prevail/,v./n.,获胜
1173,perfect,/perfect/,v./n.,完美
1174,grand,/grand/,v./n.,盛大
1175,proudly,/proudly/,adv.,自豪地
1176,chaos,/chaos/,v./n.,混乱
1177,detain,/detain/,v./n.,拘留
1178,vindicate,/vindicate/,v.,洗清
1179,gratified,/gratified/,v./n.,欣慰
1180,assistance,/assistance/,n.,援助
1181,supervise,/supervise/,v./n.,监督
1182,sit,/sit/,v./n.,坐
1183,wedding,/wedding/,v./n.,婚礼
1184,terrible,/terrible/,v./n.,彻底
1185,announce,/announce/,v./n.,宣布
1186,humiliate,/humiliate/,v.,羞辱
1187,impulsive,/impulsive/,adj.,冲动
1188,confront,/confront/,v./n.,面对
1189,cut,/cut/,v./n.,切断
1190,thin,/thin/,v./n.,消瘦
1191,genuinely,/genuinely/,adv.,真正地
1192,taboo,/taboo/,v./n.,禁忌
1193,dismiss,/dismiss/,v./n.,解雇
1194,busy,/busy/,v./n.,忙碌
1195,blame,/blame/,v./n.,责备
1196,confused,/confused/,v./n.,困惑
1197,adventure,/adventure/,v./n.,冒险
1198,deep,/deep/,v./n.,深厚
1199,enemy,/enemy/,v./n.,冤家
1200,argue,/argue/,v./n.,争论
1201,refuse,/refuse/,v./n.,拒绝
1202,shake,/shake/,v./n.,摇头
